#"Step","Potential Energy (kJ/mole)","Temperature (K)"
461,-495.7523891387253,43.58990825309278
462,-495.6484297681419,43.74499551436151
463,-495.51433176734,43.43860362253232
464,-495.4503993061488,43.82966312082217
465,-495.41094328855576,43.713913118237336
466,-495.37022683217486,43.62312053556388
467,-495.36135046030006,43.42209539678408
468,-495.3897172574819,43.510871920652214
469,-495.47911732219393,44.28386345348337
470,-495.55796681927086,44.45071348544223
471,-495.637376656114,44.94075433430298
472,-495.715141667011,45.27457937760702
473,-495.8262247321672,45.92569727955061
474,-495.87424619764386,45.852757885435196
475,-495.94387472486983,46.05516678546715
476,-496.0173784092562,45.92254858545781
477,-496.06647406104327,46.27065951696811
478,-496.09924037070425,46.66220264569006
479,-496.11318174187903,47.062733743668204
480,-496.15925324441423,47.301756823361075
481,-496.11213435525497,47.95692797345221
482,-495.98379145021045,48.36126719801593
483,-495.79379664732227,47.60489883994643
484,-495.57466562945746,47.70002803765401
485,-495.301062960751,47.73318655989724
486,-494.9962983221946,47.52152715511204
487,-494.65978373787704,47.32862627371386
488,-494.2863949867414,46.36832955472381
489,-493.90566266322645,46.103721140849714
490,-493.48834861836616,45.71756561290514
491,-493.0089174211985,45.71484313693339
492,-492.55148944480175,45.602027847660416
493,-492.1140633374779,45.63058170020477
494,-491.6927869270891,45.08767326072876
495,-491.3084147516412,44.9944520115899
496,-490.93102141513066,45.101505270665314
497,-490.6656195361904,45.350016266962506
498,-490.5095626104307,45.10017323504136
499,-490.47628579471825,45.21519152140962
500,-490.56306710571084,45.007832381635005
501,-490.7410788242018,45.59014307099205
502,-491.00833986832987,45.96373000895537
503,-491.3282133983118,46.039280942661215
504,-491.7612112679215,46.41565832525774
505,-492.26935233537716,47.30525067180982
506,-492.83658867801,48.140839719278965
507,-493.4154214978194,48.20389674612224
508,-493.9111530089683,48.57140528189743
509,-494.31001731659177,49.14902018852122
510,-494.6188477928579,49.45661035072952
511,-494.8628772014616,50.246626783894
512,-494.9982667885939,50.6920195408634
513,-494.9253432311172,50.73309584747561
514,-494.71027268977844,50.849127819134594
515,-494.34886748583,50.65331505561547
516,-493.793705141562,50.36895115288147
517,-493.1300543413709,50.13890256400888
518,-492.34815022194414,49.217113746675324
519,-491.4659279490487,49.477118193690266
520,-490.51440657967566,49.188966660074385
521,-489.5165283919907,48.73829908029667
522,-488.4869830514575,48.24393695888813
523,-487.46178432055444,47.81193457704496
524,-486.48090157769514,47.367393042358444
525,-485.6378810084522,46.53082501055281
526,-484.9830132640514,46.08807463224927
527,-484.5548262897582,46.64468195498394
528,-484.33102470344426,46.74143367656535
529,-484.3248333560184,47.16091202481006
530,-484.52808315304463,47.41429345117702
531,-484.930752515683,47.388250385798464
532,-485.46703698152123,47.39768145592684
533,-486.15349962372284,47.7363297814987
